time,motorStatePos_0,motorStateVel_0,motorAction_0,motorStateCur_0
1769687337.587543,2.204398,-3.351543,0.269849,-0.205115
1769687337.607469,2.032586,-3.502305,0.144529,-0.362354
1769687337.627733,1.856174,-3.545030,0.018977,-0.172862
1769687337.647748,1.676309,-3.639027,-0.106605,-0.398639
1769687337.667513,1.493759,-3.671377,-0.232017,-0.218218
1769687337.687388,1.308526,-3.703116,-0.357058,-0.141616
1769687337.707514,1.121758,-3.742180,-0.481527,-0.361346
1769687337.727524,0.933072,-3.743401,-0.605226,-0.369410
1769687337.747530,0.745537,-3.762932,-0.727956,-0.182941
1769687337.767353,0.557235,-3.756828,-0.849522,-0.106339
1769687337.787318,0.370852,-3.729972,-0.969729,-0.233337
1769687337.807580,0.186001,-3.668325,-1.088385,-0.267606
1769687337.827667,0.001917,-3.701895,-1.205299,-0.059971
1769687337.847677,-0.176413,-3.559679,-1.320285,-0.208139
1769687337.867138,-0.352826,-3.431501,-1.433159,-0.107347
1769687337.887646,-0.525404,-3.420515,-1.543739,-0.179917
1769687337.907786,-0.693764,-3.344829,-1.651850,0.018647
1769687337.927617,-0.857138,-3.195288,-1.757318,-0.153711
1769687337.947662,-1.013609,-3.125706,-1.859975,-0.234345
1769687337.967668,-1.166245,-2.981048,-1.959656,-0.204107
1769687337.987668,-1.312360,-2.871792,-2.056202,-0.195036
1769687338.007560,-1.451190,-2.716758,-2.149459,-0.057955
1769687338.027781,-1.584267,-2.569048,-2.239276,0.068035
1769687338.047655,-1.708907,-2.465285,-2.325511,-0.177901
1769687338.067678,-1.827410,-2.309641,-2.408026,-0.008567
1769687338.087617,-1.939011,-2.144231,-2.486687,0.133553
1769687338.107573,-2.042558,-2.002624,-2.561371,0.037797
1769687338.127153,-2.138818,-1.834773,-2.631957,0.137585
1769687338.147121,-2.225874,-1.694387,-2.698332,0.027718
1769687338.167223,-2.306027,-1.533250,-2.760390,-0.128513
1769687338.187418,-2.378510,-1.309245,-2.818032,0.140608
1769687338.207452,-2.443706,-1.229895,-2.871165,0.032757
1769687338.227696,-2.501232,-1.098666,-2.919705,-0.074086
1769687338.247517,-2.551855,-0.964385,-2.963573,-0.057955
1769687338.267475,-2.594424,-0.750755,-3.002701,0.035781
1769687338.287504,-2.630474,-0.625629,-3.037024,0.127502
1769687338.307647,-2.659237,-0.490738,-3.066489,-0.082149
1769687338.327626,-2.680330,-0.327158,-3.091048,0.084161
1769687338.347414,-2.696054,-0.284432,-3.110662,-0.040821
1769687338.367524,-2.706025,-0.074465,-3.125299,-0.080133
1769687338.387610,-2.707559,0.021973,-3.134935,-0.059971
1769687338.407754,-2.703724,0.068972,-3.139557,0.009575
1769687338.427573,-2.696437,0.203254,-3.139155,0.119439
1769687338.447456,-2.688767,0.131841,-3.133732,0.213179
1769687338.467018,-2.684932,0.026245,-3.123295,0.202091
1769687338.487416,-2.685315,-0.010376,-3.107861,0.166814
1769687338.507742,-2.685699,-0.007324,-3.087454,0.149680
1769687338.527508,-2.686082,-0.021974,-3.062109,0.119439
1769687338.547685,-2.686082,0.020752,-3.031864,0.126494
1769687338.567529,-2.686082,-0.034791,-2.996769,0.154719
1769687338.587386,-2.686082,-0.009155,-2.956879,0.162783
1769687338.607631,-2.685699,0.048220,-2.912259,0.177901
1769687338.627406,-2.685699,0.017700,-2.862980,0.229305
1769687338.647664,-2.685699,-0.014038,-2.809120,0.211163
1769687338.667105,-2.685315,0.024414,-2.750766,0.251480
1769687338.687406,-2.685315,0.005493,-2.688012,0.287765
1769687338.706965,-2.684932,-0.027467,-2.620956,0.295828
1769687338.727104,-2.684165,0.078738,-2.549708,0.336145
1769687338.747472,-2.682631,0.024414,-2.474380,0.341184
1769687338.767231,-2.679179,0.096438,-2.395094,0.334129
1769687338.787334,-2.672276,0.159917,-2.311976,0.271638
1769687338.807400,-2.660004,0.310068,-2.225159,0.169838
1769687338.827488,-2.640062,0.490737,-2.134783,0.366382
1769687338.847555,-2.612449,0.612812,-2.040990,0.221242
1769687338.867532,-2.576400,0.789819,-1.943933,0.374446
1769687338.887442,-2.531913,0.965605,-1.843765,0.462138
1769687338.907565,-2.478222,1.126132,-1.740648,0.457099
1769687338.927685,-2.414943,1.397748,-1.634746,0.365375
1769687338.947429,-2.341693,1.546068,-1.526229,0.403679
1769687338.967383,-2.258856,1.741996,-1.415270,0.233337
